Unnamed: 0,target,generated_val
404,"[extractor/ximalaya] use the normal sort order
**IMPORTANT**: PRs without the template will be CLOSED

### Description of your *pull request* and other information

<!--

Explanation of your *pull request* in arbitrary form goes here. Please **make sure the description explains the purpose and effect** of your *pull request* and is worded well enough to be understood. Provide as much **context and examples** as possible


-->

ADD DESCRIPTION HERE

The `sort=1` reverses the sort order of the playlist so that the last track is downloaded first. I don't know why this was added but the user has to download all tracks to get the first one.

<details open><summary>Template</summary> <!-- OPEN is intentional -->

<!--

# PLEASE FOLLOW THE GUIDE BELOW

- You will be asked some questions, please read them **carefully** and answer honestly
- Put an `x` into all the boxes `[ ]` relevant to your *pull request* (like [x])
- Use *Preview* tab to see how your *pull request* will actually look like

-->

### Before submitting a *pull request* make sure you have:
- [x] At least skimmed through [contributing guidelines](https://github.com/yt-dlp/yt-dlp/blob/master/CONTRIBUTING.md#developer-instructions) including [yt-dlp coding conventions](https://github.com/yt-dlp/yt-dlp/blob/master/CONTRIBUTING.md#yt-dlp-coding-conventions)
- [x] [Searched](https://github.com/yt-dlp/yt-dlp/search?q=is%3Apr&type=Issues) the bugtracker for similar pull requests
- [x] Checked the code with [flake8](https://pypi.python.org/pypi/flake8) and [ran relevant tests](https://github.com/yt-dlp/yt-dlp/blob/master/CONTRIBUTING.md#developer-instructions)

### In order to be accepted and merged into yt-dlp each piece of code must be in public domain or released under [Unlicense](http://unlicense.org/). Check all of the following options that apply:
- [x] I am the original author of this code and I am willing to release it under [Unlicense](http://unlicense.org/)
- [ ] I am not the original author of this code but it is in public domain or released under [Unlicense](http://unlicense.org/) (provide reliable evidence)

### What is the purpose of your *pull request*?
- [x] Fix or improvement to an extractor (Make sure to add/update tests)
- [ ] New extractor ([Piracy websites will not be accepted](https://github.com/yt-dlp/yt-dlp/blob/master/CONTRIBUTING.md#is-the-website-primarily-used-for-piracy))
- [ ] Core bug fix/improvement
- [ ] New feature (It is strongly [recommended to open an issue first](https://github.com/yt-dlp/yt-dlp/blob/master/CONTRIBUTING.md#adding-new-feature-or-making-overarching-changes))


<!-- Do NOT edit/remove anything below this! -->
</details><details><summary>Copilot Summary</summary>  

<!--
copilot:all
-->
### <samp>🤖 Generated by Copilot at 7b3e24d</samp>

### Summary
🐛🚫🎵

<!--
1.  🐛 - This emoji represents a bug fix, which is the main goal of this change. Removing the `sort` parameter solved the problem of missing or duplicated tracks in some albums.
2.  🚫 - This emoji represents a removal or deletion, which is the effect of this change. The `sort` parameter was removed from the query of the tracks list request, simplifying the code and the request.
3.  🎵 - This emoji represents music, which is the domain of this change. The change affects the tracks list request, which is used to fetch the music tracks of an album.
-->
Removed `sort` parameter from `ximalaya.py` extractor to fix missing tracks issue. This parameter caused some tracks to be skipped or duplicated in some albums.

> _`sort` parameter_
> _gone from tracks list query_
> _no more missing songs_

### Walkthrough
* Remove `sort` parameter from tracks list query to fix missing tracks issue ([link](https://github.com/yt-dlp/yt-dlp/pull/7292/files?diff=unified&w=0#diff-0b49e0118c7ef46255bc0d36cc6cf3b6c6472ba0fa3296994444014c5d6fa909L161-R161))



</details>
",# [ximalaya] remove sort parameter
405,"Making changes to the Community Guide index
##### SUMMARY
* Added a link where one was missing (issues & PRs)
* Added anchor to help link to the edit listed above
* Changed one line to match the ""statement, question"" format
* Minor changes to some wording in the table of contents
* Updated one index entry at the very bottom to reflect title case vs. sentence case 

##### ISSUE TYPE

- Docs Pull Request


##### ADDITIONAL INFORMATION
These changes were made per Community Devel meeting/discussion on 12/7/2018",# Fix typos in community docs
406,"Update Ulyssess
Update Ulyssess README",# Fix typos in Ulysses blog
407,"Upgrade langchain to support new openai
# Context
The upgrade of OpenAI, leaving Langchain unupgraded, has resulted in issues with Faiss.

# Amendments details
1. Upgrade Langchain 0.0.231 -> 0.0.352, supporting OpenAI v1.
2. Use Langchain faiss's load/save functions to simplify the code, because after upgrading Langchain, the original code will throw an error ""pickle.dump(store, f)TypeError: cannot pickle '_thread.RLock' object"".
3. Simplify the example/search_kb.py code.",# fix faiss store
408,"correct rmkv in interface to rwkv


## Why are these changes needed?

The changes reflect what the actual model is being loaded


## Checks

- [x] I've run `format.sh` to lint the changes in this PR.
- [x] I've included any doc changes needed.
- [x] I've made sure the relevant tests are passing (if applicable).
",# fix model name
409,"Refactoring in |raise_for_status| method.
- Simplified the if statements.
- Remove duplicate code.
",# Simplify the status code checks
410,"[doc] update readme with the new xTrimoMultimer project
Adding experimental results of xTrimoMultimer.",# [doc] add xTrimoMultimer to the real world
411,"Get mypy passing with check_untyped_defs everywhere
This finishes getting mypy to pass with `--check-untyped-defs` for everything in this repo. To make it easy to distribute, `letshelp-certbot` has no dependencies outside of the standard library so rather than adding some so rather than add some, I just copied `acme.magic_typing` to that package as well.",# Fix mypy errors
412,"Documentation: Clarify instructions about changing row_factory for SQLite3
When I was working through the tutorial, this was very confusing to me; so, I've added the code and clarification that would have helped me get through it faster.
",# Add sqlite3.Row example
413,"Remove duplicated WORKDIR in CI Dockerfile
Having it doesn't cause any harm, but it was already set five commands
further up to the same value (on L401)
",# Remove WORKDIR in Dockerfile.ci
414,"[hotfix]: polish code and fix typo
## 📌 Checklist before creating the PR

- [ ] I have created an issue for this PR for traceability
- [ ] The title follows the standard format: `[doc/gemini/tensor/...]: A concise description`
- [ ] I have added relevant tags if possible for us to better distinguish different PRs


## 🚨 Issue number

> Link this PR to your issue with words like fixed to automatically close the linked issue upon merge
>
> e.g. `fixed #1234`, `closed #1234`, `resolved #1234`



## 📝 What does this PR do?

> Summarize your work here.
> if you have any plots/diagrams/screenshots/tables, please attach them here.



## 💥 Checklist before requesting a review

- [ ] I have linked my PR to an issue ([instruction](https://docs.github.com/en/issues/tracking-your-work-with-issues/linking-a-pull-request-to-an-issue))
- [ ] My issue clearly describes the problem/feature/proposal, with diagrams/charts/table/code if possible
- [ ] I have performed a self-review of my code
- [ ] I have added thorough tests.
- [ ] I have added docstrings for all the functions/methods I implemented

## ⭐️ Do you enjoy contributing to Colossal-AI?

- [ ] 🌝 Yes, I do.
- [ ] 🌚 No, I don't.

Tell us more if you don't enjoy contributing to Colossal-AI.
",# [shardformer] fix mistral policy
415,"Add new exceptions module, to implement JSONHttpException and JSONBadRequest.
This is an update to pull request #423, to move exception classes out of wrappers.py
",# Return JSON formatted error description by defaultFixes #1055
416,"Electric power
### Describe your change: ###
Used code from ohms_law algorithm, but now for power calculation 

* [x] Add an algorithm?
* [ ] Fix a bug or typo in an existing algorithm?
* [ ] Documentation change?

### **Checklist:**
* [x] I have read [CONTRIBUTING.md](https://github.com/TheAlgorithms/Python/blob/master/CONTRIBUTING.md).
* [x] This pull request is all my own work -- I have not plagiarized.
* [x] I know that pull requests will not be merged if they fail the automated tests.
* [x] This PR only changes one algorithm file.  To ease review, please open separate PRs for separate algorithms.
* [x] All new Python files are placed inside an existing directory.
* [x] All filenames are in all lowercase characters with no spaces or dashes.
* [x] All functions and variable names follow Python naming conventions.
* [x] All function parameters and return values are annotated with Python [type hints](https://docs.python.org/3/library/typing.html).
* [x] All functions have [doctests](https://docs.python.org/3/library/doctest.html) that pass the automated testing.
* [x] All new algorithms have a URL in its comments that points to Wikipedia or other similar explanation.
* [x] If this pull request resolves one or more open issues then the commit message contains `Fixes: #{$ISSUE_NO}`.
",# Added electric_power.py
417,"ref(page-filters): Remove environment filter in Alerts History
According @robinrendle, we don't need the environment filter in the History tab.

**Before:**
<img width=""981"" alt=""Screen Shot 2022-03-24 at 11 35 55 AM"" src=""https://user-images.githubusercontent.com/44172267/159986953-640db67d-dafb-4e72-87c6-6774003db28b.png"">

**After:**
<img width=""981"" alt=""Screen Shot 2022-03-24 at 11 36 05 AM"" src=""https://user-images.githubusercontent.com/44172267/159986982-f55b3b03-2b75-4d34-821f-e8c7e9e2ceb0.png"">

",# feat(alerts): Remove environment filter from alerts
